Date,Dawn,Sunrise,Noon,Sunset,Dusk
2019-01-01,07:39:52,08:10:38,12:53:02,17:35:57,18:06:44
2019-01-02,07:40:01,08:10:46,12:53:30,17:36:47,18:07:31
2019-01-03,07:40:09,08:10:51,12:53:58,17:37:37,18:08:20
2019-01-04,07:40:14,08:10:54,12:54:26,17:38:30,18:09:10
2019-01-05,07:40:18,08:10:55,12:54:53,17:39:24,18:10:02
2019-01-06,07:40:19,08:10:54,12:55:20,17:40:19,18:10:54
2019-01-07,07:40:18,08:10:51,12:55:46,17:41:15,18:11:48
2019-01-08,07:40:16,08:10:45,12:56:12,17:42:12,18:12:43
2019-01-09,07:40:11,08:10:38,12:56:37,17:43:11,18:13:39
2019-01-10,07:40:04,08:10:28,12:57:02,17:44:11,18:14:35
2019-01-11,07:39:55,08:10:16,12:57:27,17:45:12,18:15:33
2019-01-12,07:39:44,08:10:02,12:57:50,17:46:14,18:16:32
2019-01-13,07:39:31,08:09:45,12:58:14,17:47:17,18:17:31
2019-01-14,07:39:16,08:09:27,12:58:36,17:48:20,18:18:32
2019-01-15,07:38:59,08:09:06,12:58:58,17:49:25,18:19:33
2019-01-16,07:38:40,08:08:43,12:59:19,17:50:30,18:20:34
2019-01-17,07:38:19,08:08:18,12:59:40,17:51:36,18:21:37
2019-01-18,07:37:56,08:07:52,13:00:00,17:52:43,18:22:40
2019-01-19,07:37:31,08:07:23,13:00:19,17:53:51,18:23:43
2019-01-20,07:37:03,08:06:51,13:00:37,17:54:59,18:24:47
2019-01-21,07:36:34,08:06:18,13:00:55,17:56:07,18:25:52
2019-01-22,07:36:03,08:05:43,13:01:12,17:57:16,18:26:57
2019-01-23,07:35:30,08:05:06,13:01:28,17:58:25,18:28:02
2019-01-24,07:34:55,08:04:27,13:01:44,17:59:35,18:29:08
2019-01-25,07:34:18,08:03:46,13:01:59,18:00:45,18:30:14
2019-01-26,07:33:40,08:03:04,13:02:12,18:01:56,18:31:21
2019-01-27,07:32:59,08:02:19,13:02:26,18:03:06,18:32:27
2019-01-28,07:32:17,08:01:32,13:02:38,18:04:17,18:33:34
2019-01-29,07:31:33,08:00:44,13:02:49,18:05:28,18:34:41
2019-01-30,07:30:47,07:59:54,13:03:00,18:06:40,18:35:48
2019-01-31,07:29:59,07:59:02,13:03:10,18:07:51,18:36:55
2019-02-01,07:29:09,07:58:09,13:03:19,18:09:02,18:38:03
2019-02-02,07:28:18,07:57:13,13:03:27,18:10:14,18:39:10
2019-02-03,07:27:25,07:56:16,13:03:34,18:11:25,18:40:17
2019-02-04,07:26:31,07:55:18,13:03:41,18:12:36,18:41:25
2019-02-05,07:25:35,07:54:18,13:03:47,18:13:48,18:42:32
2019-02-06,07:24:37,07:53:16,13:03:52,18:14:59,18:43:40
2019-02-07,07:23:37,07:52:13,13:03:56,18:16:10,18:44:47
2019-02-08,07:22:37,07:51:08,13:03:59,18:17:21,18:45:54
2019-02-09,07:21:34,07:50:02,13:04:01,18:18:32,18:47:01
2019-02-10,07:20:30,07:48:55,13:04:03,18:19:42,18:48:08
2019-02-11,07:19:25,07:47:46,13:04:04,18:20:53,18:49:15
2019-02-12,07:18:18,07:46:35,13:04:04,18:22:03,18:50:22
2019-02-13,07:17:10,07:45:24,13:04:03,18:23:13,18:51:28
2019-02-14,07:16:01,07:44:11,13:04:02,18:24:23,18:52:35
2019-02-15,07:14:50,07:42:57,13:04:00,18:25:32,18:53:41
2019-02-16,07:13:38,07:41:41,13:03:57,18:26:42,18:54:47
2019-02-17,07:12:24,07:40:25,13:03:53,18:27:50,18:55:53
2019-02-18,07:11:10,07:39:07,13:03:49,18:28:59,18:56:59
2019-02-19,07:09:54,07:37:49,13:03:44,18:30:07,18:58:04
